,Date,TSLA,META,KO,AMZN,TSLA_z_norm,META_z_norm,KO_z_norm,AMZN_z_norm
740,2015-12-21,15.503999710083008,104.7699966430664,34.19205093383789,33.22549819946289,-0.5689660547210856,-0.6115682162118375,-0.687734762257448,-0.7672967743721811
741,2015-12-22,15.329999923706056,105.51000213623048,34.59967803955078,33.157501220703125,-0.5706735385480529,-0.6027161147651986,-0.6464217339959256,-0.7685754418447625
742,2015-12-23,15.313332557678224,104.62999725341795,34.90338897705078,33.185001373291016,-0.570837097702482,-0.6132429183742996,-0.6156406147611599,-0.7680583078301852
743,2015-12-24,15.371333122253418,105.0199966430664,34.79948806762695,33.13949966430664,-0.5702679301878015,-0.6085776635982382,-0.6261709773088553,-0.7689139569529314
744,2015-12-28,15.263333320617676,105.93000030517578,34.759525299072266,33.7599983215332,-0.5713277470901579,-0.5976920082778133,-0.6302212059702225,-0.7572456230909355
745,2015-12-29,15.812666893005373,107.26000213623048,34.935359954833984,34.69850158691406,-0.5659370612163829,-0.581782246470003,-0.6124003545081131,-0.7395972860582917
746,2015-12-30,15.87266731262207,106.22000122070312,34.82347106933594,34.45349884033203,-0.5653482688492197,-0.5942229562943073,-0.6237402988443635,-0.744204506091616
747,2015-12-31,16.000667572021484,104.66000366210938,34.33591842651367,33.79449844360352,-0.5640921847049633,-0.6128839753985521,-0.6731537844286202,-0.7565968562678203
748,2016-01-04,14.894000053405762,102.22000122070312,33.88833999633789,31.84950065612793,-0.5749520652209809,-0.6420717981118973,-0.7185158814922137,-0.7931720902039384
749,2016-01-05,14.895333290100098,102.7300033569336,34.00822067260742,31.68950080871582,-0.5749389819859925,-0.6359710452261161,-0.7063659687476429,-0.7961808503611603
750,2016-01-06,14.602666854858398,102.97000122070312,33.82439041137695,31.63249969482422,-0.5778109579537604,-0.6331001402710992,-0.7249971752378378,-0.7972527431358614
751,2016-01-07,14.376667022705078,97.91999816894533,33.264915466308594,30.39699935913086,-0.5800287253794232,-0.6935093395715757,-0.7816999898772125,-0.8204860414445383
752,2016-01-08,14.06666660308838,97.33000183105467,33.17700958251953,30.352500915527344,-0.5830708021191143,-0.7005669999327475,-0.7906092557489711,-0.8213228243936357
753,2016-01-11,13.856666564941406,97.51000213623048,33.232948303222656,30.886999130249023,-0.5851315613663794,-0.6984137984003786,-0.7849398635104938,-0.8112717089796403
754,2016-01-12,13.998000144958496,99.37000274658205,33.6645393371582,30.894500732421875,-0.5837446355137019,-0.6761640796540455,-0.7411980898833064,-0.8111306430842781
755,2016-01-13,13.354000091552734,95.44000244140624,33.448753356933594,29.090499877929688,-0.5900642965814125,-0.7231755703904049,-0.7630680101474868,-0.8450544622777417
756,2016-01-14,13.745332717895508,98.37000274658205,33.47272872924805,29.649999618530277,-0.586224095714744,-0.688126290108443,-0.7606381049225257,-0.8345331989470396
757,2016-01-15,13.666000366210938,94.97000122070312,33.16900634765625,28.50900077819824,-0.5870025949892387,-0.7287978239062792,-0.7914203840165874,-0.8559894184732056
758,2016-01-19,13.64799976348877,95.26000213623048,33.504695892333984,28.724000930786133,-0.5871792373786562,-0.725328771922773,-0.7573982312892443,-0.8519463902868294
759,2016-01-20,13.24666690826416,94.3499984741211,33.07310485839844,28.588499069213867,-0.5911175718662747,-0.736214427243198,-0.8011400049164318,-0.8544944714814191
760,2016-01-21,13.33133316040039,94.16000366210938,33.081085205078125,28.750999450683597,-0.5902867302932893,-0.7384871851697259,-0.8003311963674073,-0.8514386893590765
761,2016-01-22,13.50333309173584,97.94000244140624,33.61659240722656,29.819000244140625,-0.5885988713188046,-0.6932700442544112,-0.7460575137134633,-0.8313551812357333
762,2016-01-25,13.092000007629396,97.01000213623048,33.696529388427734,29.826499938964844,-0.5926353394273731,-0.7043949036275774,-0.737955896531433,-0.8312141512076213
763,2016-01-26,12.904000282287598,97.33999633789062,33.6325798034668,30.0625,-0.5944802065802556,-0.7004474435385879,-0.7444371902770572,-0.8267762245956317
764,2016-01-27,12.538000106811523,94.4499969482422,33.640586853027344,29.167499542236328,-0.5980718166236075,-0.7350182244506427,-0.7436256753896756,-0.8436065013838256
765,2016-01-28,12.646666526794434,109.11000061035156,34.02421188354492,31.76749992370605,-0.5970054581037569,-0.5596521753822524,-0.7047452586914715,-0.794714095028096
766,2016-01-29,12.74666690826416,112.20999908447266,34.30394744873047,29.350000381469727,-0.5960241406113308,-0.5225693412265048,-0.676394044681667,-0.8401746152750178
767,2016-02-01,13.129332542419434,115.08999633789062,34.36789321899414,28.74049949645996,-0.5922689901306241,-0.48811820797303224,-0.6699131375558081,-0.8516361385718832
768,2016-02-02,12.185333251953123,114.61000061035156,33.92030334472656,27.604999542236328,-0.6015325849585385,-0.49386001788306616,-0.7152763944786975,-0.872988952815484
769,2016-02-03,11.565333366394045,112.69000244140624,34.144100189208984,26.55349922180176,-0.6076167290793837,-0.516827440052048,-0.6925945727073701,-0.892762173356631
770,2016-02-04,11.68866729736328,110.48999786376952,33.992244720458984,26.8129997253418,-0.6064064362575865,-0.5431443578103763,-0.707985132324753,-0.8878823263539071
771,2016-02-05,10.84000015258789,104.06999969482422,33.92030334472656,25.10650062561035,-0.6147345236326086,-0.6199417270241466,-0.7152763944786975,-0.919972647580165
772,2016-02-08,9.866000175476074,99.75,34.088157653808594,24.405000686645508,-0.6242925193233732,-0.6716184725365668,-0.6982643515656127,-0.9331641918271704
773,2016-02-09,9.883333206176758,99.54000091552734,34.607666015625,24.103500366210938,-0.624122427909987,-0.6741305257802596,-0.6456121522073706,-0.9388338356811212
774,2016-02-10,9.57800006866455,101.0,34.00822067260742,24.52400016784668,-0.6271187039686816,-0.65666570946857,-0.7063659687476429,-0.9309264340820274
775,2016-02-11,10.031332969665527,101.91000366210938,33.896331787109375,25.19099998474121,-0.6226700858823676,-0.6457800541481452,-0.7177059130838933,-0.918383656658137
776,2016-02-12,10.06933307647705,102.01000213623048,34.455814361572266,25.35400009155273,-0.6222971856095871,-0.6445838513555899,-0.6610023252049881,-0.9153184773162204
777,2016-02-16,10.344667434692385,101.61000061035156,34.65562057495117,26.05500030517578,-0.6195952916966683,-0.6493687537902336,-0.6407519551376831,-0.9021363302887891
778,2016-02-17,11.245332717895508,105.1999969482422,34.759525299072266,26.70499992370605,-0.610756939440025,-0.6064244620658695,-0.6302212059702225,-0.8899132376666693
779,2016-02-18,11.118000030517578,103.47000122070312,34.855445861816406,26.25,-0.6120064726082501,-0.6271190350439004,-0.6204996519715515,-0.8984694060888782
780,2016-02-19,11.10533332824707,104.56999969482422,34.983306884765625,26.7450008392334,-0.6121307726991769,-0.6139606217969478,-0.6075409306779562,-0.8891610296937387
781,2016-02-22,11.849332809448242,107.16000366210938,35.11919021606445,27.975000381469727,-0.6048298034975775,-0.5829784492625584,-0.5937691480179182,-0.8660311725348773
782,2016-02-23,11.814000129699709,105.45999908447266,34.91936492919922,27.64699935913086,-0.605176527941844,-0.6033142617936879,-0.6140214511840498,-0.8721991559642571
783,2016-02-24,11.93333339691162,106.87999725341795,35.095211029052734,27.70199966430664,-0.6040054941835492,-0.5863279448519051,-0.5961994398626446,-0.8711648879351027
784,2016-02-25,12.495332717895508,108.06999969482422,35.29501724243164,27.75749969482422,-0.5984905175773845,-0.5720928852065565,-0.5759490697953396,-0.8701212226863742
785,2016-02-26,12.689332962036133,107.91999816894533,34.47978591918945,27.761499404907227,-0.5965867665085172,-0.5738872350276006,-0.6585728065997923,-0.8700460090625312
786,2016-02-29,12.795332908630373,106.91999816894533,34.471797943115234,27.625999450683597,-0.5955465744586433,-0.5858494454819981,-0.6593823883883474,-0.8725940543898706
787,2016-03-01,12.423333168029783,109.81999969482422,34.91936492919922,28.95199966430664,-0.599197059059443,-0.5511590169113609,-0.6140214511840498,-0.847658926789776
788,2016-03-02,12.555999755859377,109.9499969482422,34.983306884765625,29.010499954223636,-0.5978951835927272,-0.5496039624074813,-0.6075409306779562,-0.8465588423563526
789,2016-03-03,13.04933261871338,109.58000183105467,35.135162353515625,28.874500274658203,-0.5930540403811501,-0.554029921866378,-0.5921503710605734,-0.8491162849032662
790,2016-03-04,13.402667045593262,108.38999938964844,35.25506591796875,28.756999969482425,-0.5895867210701877,-0.5682649815117263,-0.5799981385974108,-0.8513258509896869
791,2016-03-07,13.685999870300291,105.7300033569336,35.17513656616211,28.13999938964844,-0.5868063371058757,-0.6000844138629237,-0.5880989825399103,-0.8629284043146642
792,2016-03-08,13.506667137145996,105.93000030517578,35.422889709472656,28.01300048828125,-0.5885661538727964,-0.5976920082778133,-0.5629891886424484,-0.8653165893074933
793,2016-03-09,13.914667129516602,107.51000213623048,35.81453323364258,27.973499298095703,-0.584562393851699,-0.5787916938564036,-0.5232960971975669,-0.8660594000608498
794,2016-03-10,13.678667068481444,107.31999969482422,36.15021896362305,27.94650077819824,-0.5868782948983118,-0.5810645430473547,-0.489274331089989,-0.8665671009886027
795,2016-03-11,13.833333015441896,109.41000366210938,36.4079704284668,28.480499267578125,-0.5853605366957505,-0.5560634757401639,-0.4631512067876547,-0.8565253827941813
796,2016-03-14,14.34333324432373,109.88999938964844,36.48047637939453,28.668500900268555,-0.5803558343297442,-0.55032166583013,-0.4558027249084446,-0.8529900555355578
797,2016-03-15,14.555999755859377,110.66999816894533,36.44020462036133,28.85099983215332,-0.5782689086125025,-0.5409911562780075,-0.45988426977080166,-0.8495582052940004
798,2016-03-16,14.795332908630373,112.18000030517578,36.28716278076172,28.713499069213867,-0.5759202994784186,-0.522928192937829,-0.47539506813519533,-0.8521438753668864
799,2016-03-17,15.092000007629396,111.0199966430664,36.86711120605469,27.972000122070312,-0.5730090644471484,-0.5368044008718531,-0.4166172652154125,-0.8660875917195721
800,2016-03-18,15.515999794006348,111.4499969482422,36.73017501831055,27.60400009155273,-0.568848296247653,-0.5316606467258851,-0.43049575493067554,-0.8730077472546323
801,2016-03-21,15.887999534606934,111.8499984741211,36.78656005859375,27.698999404907227,-0.5651978116468533,-0.5268757442912417,-0.42478112817965724,-0.8712213071197975
802,2016-03-22,15.616000175476074,112.25,36.64961624145508,28.02400016784668,-0.567866978755227,-0.522090841856598,-0.43866039113445093,-0.8651097428751124
803,2016-03-23,14.838666915893556,112.54000091552734,36.61740493774414,28.48150062561035,-0.5754950569071474,-0.518621789873092,-0.4419250084327121,-0.8565065524877828
804,2016-03-24,15.18333339691162,113.0500030517578,36.71406555175781,29.147499084472656,-0.5721127973406839,-0.512521036987311,-0.4321284501995714,-0.843982605370291
805,2016-03-28,15.350666999816896,113.69000244140624,36.89126968383789,28.99349975585937,-0.5704707296886586,-0.5048652295976505,-0.4141688022417166,-0.8468785271581232
806,2016-03-29,15.342000007629396,116.13999938964844,37.43899917602539,29.69300079345703,-0.5705557800746203,-0.47555785049014565,-0.3586563898597255,-0.8337245717894142
807,2016-03-30,15.12600040435791,114.6999969482422,37.5195426940918,29.934499740600582,-0.5726754138793331,-0.49278346274909324,-0.35049330013501134,-0.8291832398948592
808,2016-03-31,15.317999839782717,114.0999984741211,37.36651611328125,29.68199920654297,-0.5707912970214855,-0.4999607707688473,-0.36600255202034376,-0.8339314540890452
809,2016-04-01,15.839332580566406,116.05999755859376,37.720924377441406,29.924999237060547,-0.565675387158078,-0.4765148492299588,-0.33008325610463407,-0.8293618946685177
810,2016-04-04,16.465999603271484,112.5500030517578,37.76925659179688,29.659500122070312,-0.5595258175037537,-0.5185021422145097,-0.3251847836781803,-0.834354544173381
811,2016-04-05,17.031333923339844,112.22000122070312,37.479270935058594,29.30699920654297,-0.5539781140930436,-0.5224496935679224,-0.3545748449973684,-0.8409832424326432
812,2016-04-06,17.69466781616211,113.70999908447266,37.624267578125,30.10400009155273,-0.5474687274009273,-0.5046260255449085,-0.33987942771800944,-0.8259958249639788
813,2016-04-07,17.14666748046875,113.63999938964844,37.34233856201172,29.57150077819824,-0.552846330039714,-0.5054633766261394,-0.36845294809286616,-0.8360093514996779
814,2016-04-08,16.67133331298828,110.62999725341795,37.75314331054688,29.729999542236328,-0.5575108495789479,-0.5414696556479145,-0.32681786556684156,-0.8330288188684286
815,2016-04-11,16.661333084106445,108.98999786376952,37.406776428222656,29.796499252319336,-0.557608983199898,-0.5610876734919725,-0.3619221670172826,-0.8317783071873193
816,2016-04-12,16.521333694458008,110.61000061035156,37.5759391784668,30.15850067138672,-0.5589828164590499,-0.5417088597006562,-0.3447775135246971,-0.8249709541543985
817,2016-04-13,16.968666076660156,110.51000213623048,37.08458709716797,30.74099922180176,-0.5545930822887207,-0.5429050624932111,-0.39457607239520054,-0.8140172035197865
818,2016-04-14,16.790666580200195,110.83999633789062,36.91543960571289,31.037500381469727,-0.5563398158206532,-0.5389576024042216,-0.41171917940872477,-0.8084415677288268
819,2016-04-15,16.96733283996582,109.63999938964844,37.13291931152344,31.29450035095215,-0.5546061655237091,-0.5533122184437294,-0.3896775999687475,-0.8036087426912236
